file name,judge
תפ_26126-03-22.docx,מרב גרינברג
תפ_29707-03-22.docx,בני שגיא
תפ_30003-03-22.docx,בני שגיא
תפ_35442-03-22.docx,אליהו ביתן
תפ_35843-03-22.docx,בני שגיא
תפ_53777-03-22.docx,עמית אברהם הימן
תפ_60295-03-22.docx,מוחמד עלי
תפ_60380-03-22.docx,תמר נאות פרי
תפ_60484-03-22.docx,אבי לוי
תפ_61202-03-22.docx,יובל ליבדרו
תפ_1886-04-22.docx,מרב גרינברג
תפ_5076-04-22.docx,מרב גרינברג
תפ_7867-04-22.docx,מרב גרינברג
תפ_20638-04-22.docx,מרב גרינברג
תפ_36475-04-22.docx,בני שגיא
תפ_716-05-22.docx,יובל ליבדרו
תפ_4488-05-22.docx,חנה מרים לומפ
תפ_6970-05-22.docx,מרב גרינברג
תפ_41870-05-22.docx,חנא סבאג
תפ_42156-05-22.docx,יובל ליבדרו
תפ_48194-05-22.docx,דניאל פיש
תפ_57219-05-22.docx,אלון גביזון
תפ_60457-05-22.docx,מרב גרינברג
תפ_4389-06-22.docx,אלון גביזון
תפ_25134-10-22.docx,מרב גרינברג
תפ_31812-10-22.docx,יואל עדן
תפ_36801-10-22.docx,גיל קרזבום
תפ_1990-11-22.docx,מרב גרינברג
תפ_8988-11-22.docx,רותם חזן גרימברג
תפ_24758-11-22.docx,יואב עטר
תפ_802-12-22.docx,סארי ג'יוסי
תפ_47987-12-22.docx,יואל עדן
תפ_10243-01-23.docx,מרב גרינברג
תפ_33582-01-23.docx,גיל קרזבום
תפ_34561-01-23.docx,מרב גרינברג
תפ_46786-01-23.docx,גיל קרזבום
תפ_53640-01-23.docx,גיל קרזבום
תפ_69612-01-23.docx,מרב גרינברג
תפ_73351-01-23.docx,יואל עדן
תפ_35569-02-23.docx,שי יניב
תפ_38416-02-23.docx,גיל קרזבום
תפ_50850-03-23.docx,אליהו ביתן
תפ_53035-03-23.docx,יואל עדן
תפ_58193-03-23.docx,דניאל פיש
תפ_8639-04-23.docx,יובל ליבדרו
תפ_12158-04-23.docx,גיל קרזבום
תפ_12589-04-23.docx,עמית אברהם הימן
תפ_21291-04-23.docx,גיל קרזבום
תפ_8203-05-23.docx,מעין בן ארי
תפ_13598-05-23.docx,חנה מרים לומפ
תפ_28315-05-23.docx,עמית ציון קאפח
תפ_49875-05-23.docx,אילן סלע
תפ_52567-05-23.docx,נתנאל בנישו
תפ_15727-06-23.docx,חנא סבאג
תפ_24350-06-23.docx,יובל ליבדרו
תפ_51515-06-23.docx,עמית ציון קאפח
תפ_27992-01-24.docx,מרדכי כדורי
תפ_42808-01-24.docx,אמיר טובי
תפ_49376-01-24.docx,אינאס סלאמה
תפ_51206-01-24.docx,אלון גביזון
תפ_68905-01-24.docx,יובל ליבדרו
תפ_71101-01-24.docx,נועה תבור
תפ_51886-02-24.docx,מרב גרינברג
תפ_52438-02-24.docx,יואל עדן
תפ_55717-02-24.docx,רון סולקין
תפ_56431-02-24.docx,אינאס סלאמה
תפ_1484-03-24.docx,מרב גרינברג
תפ_62673-03-24.docx,שמואל מלמד
תפ_69004-03-24.docx,נתנאל בניש
תפ_65251-05-24.docx,אלון גביזון
תפ_51778-06-24.docx,שמואל מלמד
תפ_57910-06-24.docx,מרב גרינברג
תפ_35088-07-24.docx,רון שפירא
תפ_46118-07-24.docx,מרב גרינברג
תפ_75514-07-24.docx,בני שגיא
תפ_41446-08-24.docx,שמואל מלמד
תפ_41832-08-24.docx,בני שגיא
תפ_12265-09-24.docx,אבי לוי
תפ_3170-10-24.docx,שמואל מלמד
תפ_13504-12-09.docx,בני שגיא
תפ_26981-01-10.docx,עינת רון
תפ_12451-03-10.docx,אברהם הימן
תפ_38312-03-10.docx,יוסי טופף
תפ_13054-06-10.docx,אביטל חן
תפ_30050-06-10.docx,עמי קובו
תפ_12856-07-10.docx,אלכסנדר רון
תפ_15576-08-10.docx,ג'ויה סקפה שפירא
תפ_26820-10-11.docx,חנה מרים לומפ
תפ_43869-10-11.docx,יעל פרדלסקי
תפ_48347-10-11.docx,נגה שמואלי-מאייר
תפ_3781-11-11.docx,שמואל מלמד
תפ_6991-11-11.docx,הדסה נאור
תפ_34058-01-12.docx,שושנה פיינסוד-כהן
תפ_45974-01-12.docx,אברהם הימן
תפ_8202-02-12.docx,הדסה נאור
תפ_17515-02-12.docx,גלית ציגלר
תפ_36469-02-12.docx,נועה חקלאי
תפ_36471-02-12.docx,נגה שמואלי-מאייר
תפ_46052-02-12.docx,אביטל חן
תפ_7797-03-12.docx,נירה דסקין
תפ_11439-03-12.docx,שמואל מלמד
תפ_26039-03-12.docx,עינת רון
תפ_43053-03-12.docx,יוסי טופף
תפ_7602-04-12.docx,הדסה נאור
תפ_13432-04-12.docx,שמואל מלמד
תפ_31798-04-12.docx,יעל פרדלסקי
תפ_35695-04-12.docx,עינת רון
תפ_8575-05-12.docx,עינת רון
תפ_26436-05-12.docx,לימור מרגולין-יחידי
תפ_30762-05-12.docx,אלכסנדר רון
תפ_46015-05-12.docx,אברהם הימן
תפ_49123-05-12.docx,אביטל חן
תפ_54307-05-12.docx,חנה מרים לומפ
תפ_2186-06-12.docx,אילן סלע
תפ_18985-06-12.docx,חגי טרסי
תפ_53481-06-12.docx,עמי קובו
תפ_53910-06-12.docx,מוחמד עלי
תפ_9346-07-12.docx,עמי קובו
תפ_20764-07-12.docx,תרצה שחם קינן
תפ_24015-11-12.docx,עינת רון
תפ_56388-11-12.docx,יצחק יצחק
תפ_57216-11-12.docx,רובין לביא
תפ_21616-12-12.docx,ענת רון
תפ_30206-12-12.docx,הישאם אבו שחאדה
תפ_50074-12-12.docx,דנה כהן-לקח
תפ_60394-12-12.docx,מרב גרינברג
תפ_62174-12-12.docx,עינת רון
תפ_13780-01-13.docx,עידו דרויאן
תפ_17975-01-13.docx,נועה חקלאי
תפ_50263-01-13.docx,עינת רון
תפ_54047-01-13.docx,שמואל הרבסט
תפ_4515-02-13.docx,שאול אבינור
תפ_17543-02-13.docx,רבקה גלט
תפ_17787-02-13.docx,נגה שמואלי-מאייר
תפ_20615-02-13.docx,עינת רון
תפ_25277-02-13.docx,רובין לביא
תפ_38088-02-13.docx,אברהם הימן
תפ_41959-02-13.docx,בני שגיא
תפ_43722-02-13.docx,הישאם אבו שחאדה
תפ_45180-02-13.docx,עידו דרויאן
תפ_46354-02-13.docx,דנה כהן-לקח
תפ_46903-02-13.docx,שמואל מלמד
תפ_48167-02-13.docx,עידו דרויאן
תפ_1684-03-13.docx,רובין לביא
תפ_6065-03-13.docx,עינת רון
תפ_17018-03-13.docx,גלית ציגלר
תפ_18458-03-13.docx,צחי עוזיאל
תפ_27114-03-13.docx,איטה נחמן
תפ_27593-03-13.docx,הדס רוזנברג שיינרט
תפ_33046-03-13.docx,הדס רוזנברג שיינרט
תפ_2315-05-13.docx,עידו דרויאן
תפ_4413-05-13.docx,עידו דרויאן
תפ_23836-05-13.docx,דנה כהן-לקח
תפ_31312-05-13.docx,צחי עוזיאל
תפ_47193-05-13.docx,אביטל חן
תפ_53518-05-13.docx,הישאם אבו שחאדה
תפ_56159-05-13.docx,מרדכי כדורי
תפ_56746-05-13.docx,שמואל הרבסט
תפ_57334-05-13.docx,איתן קורנהאוזר
תפ_57360-05-13.docx,נגה שמואלי-מאייר
תפ_59136-05-13.docx,שרית זמיר
תפ_59243-05-13.docx,איתן קורנהאוזר
תפ_60476-05-13.docx,דנה כהן-לקח
תפ_61516-05-13.docx,ג'ויה סקפה שפירא
תפ_10316-06-13.docx,אפרת פינק
תפ_11112-06-13.docx,שמואל מלמד
תפ_15712-06-13.docx,איתן קורנהאוזר
תפ_16552-06-13.docx,עינת רון
תפ_16765-06-13.docx,עינת רון
תפ_20533-06-13.docx,עמי קובו
תפ_22905-06-13.docx,רובין לביא
תפ_29550-06-13.docx,דנה כהן-לקח
תפ_33419-06-13.docx,שוש שטרית
תפ_16206-07-13.docx,איטה נחמן
תפ_20531-07-13.docx,רובין לביא
תפ_24251-07-13.docx,שאול אבינור
תפ_26079-07-13.docx,נגה שמואלי-מאייר
תפ_33230-07-13.docx,שמואל מלמד
תפ_35843-07-13.docx,עינת רון
תפ_56953-07-13.docx,עמי קובו
תפ_58288-07-13.docx,איטה נחמן
תפ_22603-09-13.docx,תרצה שחם קינן
תפ_25854-09-13.docx,שמואל מלמד
תפ_28804-09-13.docx,עידו דרויאן
תפ_29504-09-13.docx,שרית זמיר
תפ_30582-09-13.docx,שמואל מלמד
תפ_32561-09-13.docx,אביב שרון
תפ_33069-09-13.docx,יובל ליבדרו
תפ_8204-10-13.docx,מיכאל קרשן
תפ_14471-10-13.docx,דורון פורת
תפ_16389-10-13.docx,יוסי טופף
תפ_18460-10-13.docx,עינת רון
תפ_20319-10-13.docx,דניאל בארי
תפ_20883-10-13.docx,יובל ליבדרו
תפ_24581-10-13.docx,שושנה פיינסוד-כהן
תפ_33223-10-13.docx,שושנה פיינסוד-כהן
תפ_40089-10-13.docx,עידו דרויאן
תפ_49458-10-13.docx,דנה כהן-לקח
תפ_61082-10-13.docx,עידו דרויאן
תפ_65295-10-13.docx,מיכאל קרשן
תפ_66147-10-13.docx,איתן קורנהאוזר
תפ_67676-10-13.docx,רובין לביא
תפ_67733-10-13.docx,נגה שמואלי-מאייר
תפ_2549-11-13.docx,שמואל מלמד
תפ_3155-11-13.docx,נגה שמואלי-מאייר
תפ_14861-11-13.docx,נגה שמואלי-מאייר
תפ_15873-11-13.docx,נועה חקלאי
תפ_19734-11-13.docx,עינת רון
תפ_25832-11-13.docx,שמואל מלמד
תפ_33482-11-13.docx,נגה שמואלי-מאייר
תפ_36400-11-13.docx,רובין לביא
תפ_38875-11-13.docx,רות שפילברג כהן
תפ_42533-11-13.docx,עינת רון
תפ_573-01-14.docx,נגה שמואלי-מאייר
תפ_11145-01-14.docx,ניצה מימון שעשוע
תפ_11951-01-14.docx,ניצה מימון שעשוע
תפ_16842-01-14.docx,עינת רון
תפ_16980-01-14.docx,עמי קובו
תפ_21495-01-14.docx,נועה חקלאי
תפ_21790-01-14.docx,רובין לביא
תפ_27021-01-14.docx,ארנון איתן
תפ_30865-01-14.docx,ג'ויה סקפה שפירא
תפ_33125-01-14.docx,הישאם אבו שחאדה
תפ_36376-01-14.docx,עידו דרויאן-גמליאל
תפ_36543-01-14.docx,עידו דרויאן
תפ_43664-01-14.docx,עינת רון
תפ_45181-01-14.docx,איטה נחמן
תפ_46386-01-14.docx,רבקה גלט
תפ_56878-01-14.docx,עידו דרויאן
תפ_57031-01-14.docx,עידו דרויאן
תפ_59586-01-14.docx,שאול אבינור
תפ_60914-01-14.docx,הדס רוזנברג שיינרט
תפ_639-02-14.docx,בני שגיא
תפ_4677-02-14.docx,איטה נחמן
תפ_10642-02-14.docx,חגי טרסי
תפ_14846-02-14.docx,עידו דרויאן
תפ_15425-02-14.docx,עידו דרויאן
תפ_19674-02-14.docx,הישאם אבו שחאדה
תפ_20872-02-14.docx,יוסי טופף
תפ_22160-02-14.docx,עמי קובו
תפ_22602-02-14.docx,עמית פרייז
תפ_26535-02-14.docx,שמואל מלמד
תפ_38941-02-14.docx,שושנה פיינסוד-כהן
תפ_40987-02-14.docx,שושנה פיינסוד-כהן
תפ_42479-02-14.docx,הדסה נאור
תפ_24126-03-14.docx,נגה שמואלי-מאייר
תפ_34925-03-14.docx,חנה מרים לומפ
תפ_41072-03-14.docx,רון סולקין
תפ_43556-03-14.docx,אביב שרון
תפ_53219-03-14.docx,רות שפילברג כהן
תפ_58092-03-14.docx,נגה שמואלי-מאייר
תפ_58243-03-14.docx,ירון מינטקביץ
תפ_60682-03-14.docx,דנה כהן-לקח
תפ_62059-03-14.docx,מרדכי כדורי
תפ_262-04-14.docx,עינת רון
תפ_3717-04-14.docx,דניאל בארי
תפ_7568-04-14.docx,עמי קובו
תפ_8123-04-14.docx,דנה כהן-לקח
תפ_9620-04-14.docx,דנה כהן-לקח
תפ_9787-04-14.docx,שמואל הרבסט
תפ_15564-04-14.docx,עמי קובו
תפ_15668-04-14.docx,עמי קובו
תפ_17670-04-14.docx,יעל פרדלסקי
תפ_18383-04-14.docx,איתן קורנהאוזר
תפ_20508-04-14.docx,נגה שמואלי-מאייר
תפ_25171-04-14.docx,עינת רון
תפ_26520-04-14.docx,שמואל מלמד
תפ_36953-04-14.docx,רובין לביא
תפ_43072-04-14.docx,נגה שמואלי-מאייר
תפ_45610-04-14.docx,רובין לביא
תפ_47532-04-14.docx,ארז נוריאלי
תפ_49374-04-14.docx,רובין לביא
תפ_446-05-14.docx,דנה כהן-לקח
תפ_520-05-14.docx,אביטל חן
תפק_7171-03-21.docx,אביטל חן
תפ_9380-03-21.docx,סימי פלג קימלוב
תפ_9561-03-21.docx,ג'ויה סקפה שפירא
תפ_10029-03-21.docx,גיא אבנון
תפ_10221-03-21.docx,רון סולקין
תפ_10265-03-21.docx,ארנון איתן
תפ_10393-03-21.docx,אילה אורן
תפ_13774-03-21.docx,רות שפילברג כהן
תפ_16231-03-21.docx,יהושע צימרמן
תפ_16595-03-21.docx,סימי פלג קימלוב
תפ_19425-03-21.docx,שמואל הרבסט
תפ_20805-03-21.docx,דוד שאול גבאי ריכטר
תפ_22061-03-21.docx,איתן קורנהאוזר
תפ_27506-03-21.docx,רון סולקין
תפ_32041-03-21.docx,אבישי כהן
תפ_37960-03-21.docx,עלאא מסארווה
תפ_38169-03-21.docx,עלאא מסארווה
תפ_38257-03-21.docx,שוש שטרית
תפ_38663-03-21.docx,עלאא מסארווה
תפ_41902-03-21.docx,שוש שטרית
תפ_42497-03-21.docx,אילה אורן
תפ_43253-03-21.docx,זהר דולב להמן
תפ_43263-03-21.docx,ענת חולתא
תפ_43354-03-21.docx,שוש שטרית
תפ_48046-03-21.docx,דוד שאול גבאי ריכטר
תפ_48394-03-21.docx,אלעזר ביאלין
תפ_48460-03-21.docx,ג'ויה סקפה שפירא
תפ_48791-03-21.docx,דוד שאול גבאי ריכטר
תפ_49106-03-21.docx,ענת חולתא
תפ_51811-03-21.docx,ענת חולתא
תפ_56588-03-21.docx,גיל אדלמן
תפ_56691-03-21.docx,שוש שטרית
תפ_44505-08-14.docx,ניצה מימון שעשוע
תפ_2744-09-14.docx,נועה חקלאי
תפ_8566-09-14.docx,ירון מינטקביץ
תפ_15052-09-14.docx,אמיר דורון
תפ_15616-09-14.docx,רובין לביא
תפ_21401-09-14.docx,רון סולקין
תפ_28106-09-14.docx,עמי קובו
תפ_30091-09-14.docx,דניאל בארי
תפ_31173-09-14.docx,נגה שמואלי-מאייר
תפ_31236-09-14.docx,גלית ציגלר
תפ_39747-09-14.docx,רובין לביא
תפ_43747-09-14.docx,שושנה פיינסוד-כהן
תפ_49008-09-14.docx,תרצה שחם קינן
תפ_49902-09-14.docx,חנה מרים לומפ
תפ_52816-09-14.docx,רובין לביא
תפ_54179-09-14.docx,שמואל מלמד
תפ_55068-09-14.docx,מנחם מזרחי
תפ_56389-09-14.docx,איתי הרמלין
תפ_59139-09-14.docx,נועה חקלאי
תפ_60207-09-14.docx,נגה שמואלי-מאייר
תפ_64678-09-14.docx,עינת רון
תפ_416-10-14.docx,שירלי דקל נוה
תפ_1340-10-14.docx,דניאל בן טולילה
תפ_3461-10-14.docx,גלית ציגלר
תפ_5466-10-14.docx,שושנה פיינסוד-כהן
תפ_5787-10-14.docx,עמי קובו
תפ_12202-10-14.docx,רובין לביא
תפ_14779-10-14.docx,רובין לביא
תפ_16727-10-14.docx,איתי ברסלר-גונן
תפ_18974-10-14.docx,אברהם הימן
תפ_21952-10-14.docx,רון סולקין
תפ_22604-10-14.docx,איתן קורנהאוזר
תפ_22368-11-14.docx,טל לחיאני
תפ_27249-11-14.docx,ג'ויה סקפה שפירא
תפ_27542-11-14.docx,חנה מרים לומפ
תפ_32695-11-14.docx,שמעון שטיין
תפ_34136-11-14.docx,אמיר דורון
תפ_35907-11-14.docx,ניצה מימון שעשוע
תפ_41061-11-14.docx,שמואל מלמד
תפ_43133-11-14.docx,ניר מישורי
תפ_47532-11-14.docx,נגה שמואלי-מאייר
תפ_47753-11-14.docx,נועה חקלאי
תפ_53692-11-14.docx,רון סולקין
תפ_53725-11-14.docx,שאול אבינור
תפ_53948-11-14.docx,איטה נחמן
תפ_61046-11-14.docx,אברהם הימן
תפ_62262-11-14.docx,אפרת פינק
תפ_902-12-14.docx,נגה שמואלי-מאייר
תפ_1875-12-14.docx,איתי ברסלר-גונן
תפ_19812-12-14.docx,נועה חקלאי
תפ_23800-12-14.docx,חגי טרסי
תפ_25762-12-14.docx,ניר מישורי
תפ_26189-12-14.docx,ניר מישורי
תפ_28420-12-14.docx,דנה כהן-לקח
תפ_29210-12-14.docx,טל תדמור-זמיר
תפ_31864-12-14.docx,מנחם מזרחי
תפ_32433-12-14.docx,ג'ני טנוס
תפ_32817-12-14.docx,מרב גרינברג
תפ_37009-12-14.docx,רובין לביא
תפ_37567-12-14.docx,איטה נחמן
תפ_42020-12-14.docx,יריב נבון
תפ_45188-12-14.docx,נועה חקלאי
תפ_50305-12-14.docx,שאול אבינור
תפ_58372-12-14.docx,עמי קובו
תפ_52796-01-15.docx,רבקה גלט
